Time,Open,High,Low,Close,Volume
2015-02-22 00:00:00,1.13911,1.13961,1.13583,1.1386,11903
2015-02-23 00:00:00,1.1386,1.13872,1.12951,1.13263,122995
2015-02-24 00:00:00,1.13265,1.13581,1.12883,1.13493,160116
2015-02-25 00:00:00,1.13494,1.13886,1.13358,1.13686,146673
2015-02-26 00:00:00,1.13685,1.13796,1.11836,1.12083,170507
2015-02-27 00:00:00,1.12084,1.12451,1.11756,1.11953,154596
2015-03-01 00:00:00,1.11808,1.11867,1.11601,1.11713,15391
2015-03-02 00:00:00,1.11714,1.12405,1.11662,1.11941,127990
2015-03-03 00:00:00,1.11939,1.12175,1.11546,1.11759,142250
2015-03-04 00:00:00,1.1176,1.11775,1.10616,1.10736,156228
2015-03-05 00:00:00,1.10735,1.11142,1.09874,1.10237,170457
2015-03-06 00:00:00,1.10237,1.103,1.0839,1.0844,157865
2015-03-08 00:00:00,1.08302,1.08558,1.08228,1.08434,17572
2015-03-09 00:00:00,1.08433,1.09065,1.08236,1.08252,145471
2015-03-10 00:00:00,1.08253,1.08263,1.06679,1.0685,232187
2015-03-11 00:00:00,1.0685,1.06968,1.05049,1.05077,267509
2015-03-12 00:00:00,1.05079,1.06837,1.0494,1.06123,228985
2015-03-13 00:00:00,1.06123,1.06347,1.04624,1.04943,192271
2015-03-15 00:00:00,1.04701,1.05352,1.04697,1.05181,22169
2015-03-16 00:00:00,1.05181,1.06193,1.04983,1.05708,161934
2015-03-17 00:00:00,1.05708,1.06507,1.0552,1.06079,157255
2015-03-18 00:00:00,1.06079,1.10351,1.05799,1.07939,237248
2015-03-19 00:00:00,1.07942,1.08091,1.06128,1.06882,230242
2015-03-20 00:00:00,1.06883,1.08816,1.06564,1.0816,172348
2015-03-22 00:00:00,1.08404,1.08828,1.07838,1.07873,28369
2015-03-23 00:00:00,1.07874,1.09713,1.07673,1.09173,255310
2015-03-24 00:00:00,1.09174,1.10292,1.08904,1.09357,220053
2015-03-25 00:00:00,1.0936,1.10144,1.09069,1.09778,205618
2015-03-26 00:00:00,1.09779,1.10522,1.08564,1.08762,254413
